icdCode,description
A079,"Protozoalintestinaldisease,unspecified"
A080,Rotaviralenteritis
A0811,AcutegastroenteropathyduetoNorwalkagent
A0819,Acutegastroenteropathyduetoothersmallroundviruses
A082,Adenoviralenteritis
A0831,Calicivirusenteritis
A0832,Astrovirusenteritis
A0839,Otherviralenteritis
A084,"Viralintestinalinfection,unspecified"
A088,Otherspecifiedintestinalinfections
A09,"Infectiousgastroenteritisandcolitis,unspecified"
A150,Tuberculosisoflung
A154,Tuberculosisofintrathoraciclymphnodes
A155,"Tuberculosisoflarynx,tracheaandbronchus"
A156,Tuberculouspleurisy
A157,Primaryrespiratorytuberculosis
A158,Otherrespiratorytuberculosis
A159,Respiratorytuberculosisunspecified
A170,Tuberculousmeningitis
A171,Meningealtuberculoma
A1781,Tuberculomaofbrainandspinalcord
A1782,Tuberculousmeningoencephalitis
A1783,Tuberculousneuritis
A1789,Othertuberculosisofnervoussystem
A179,"Tuberculosisofnervoussystem,unspecified"
A1801,Tuberculosisofspine
A1802,Tuberculousarthritisofotherjoints
A1803,Tuberculosisofotherbones
A1809,Othermusculoskeletaltuberculosis
A1810,"Tuberculosisofgenitourinarysystem,unspecified"
A1811,Tuberculosisofkidneyandureter
A1812,Tuberculosisofbladder
A1813,Tuberculosisofotherurinaryorgans
A1814,Tuberculosisofprostate
A1815,Tuberculosisofothermalegenitalorgans
A1816,Tuberculosisofcervix
A1817,Tuberculousfemalepelvicinflammatorydisease
A1818,Tuberculosisofotherfemalegenitalorgans
A182,Tuberculousperipherallymphadenopathy
A1831,Tuberculousperitonitis
A1832,Tuberculousenteritis
A1839,Retroperitonealtuberculosis
A184,Tuberculosisofskinandsubcutaneoustissue
A1850,"Tuberculosisofeye,unspecified"
A1851,Tuberculousepiscleritis
A1852,Tuberculouskeratitis
A1853,Tuberculouschorioretinitis
A1854,Tuberculousiridocyclitis
A1859,Othertuberculosisofeye
A186,Tuberculosisof(inner)(middle)ear
A187,Tuberculosisofadrenalglands
A1881,Tuberculosisofthyroidgland
A1882,Tuberculosisofotherendocrineglands
A1883,"Tuberculosisofdigestivetractorgans,notelsewhereclassified"
A1884,Tuberculosisofheart
A1885,Tuberculosisofspleen
A1889,Tuberculosisofothersites
A190,Acutemiliarytuberculosisofasinglespecifiedsite
A191,Acutemiliarytuberculosisofmultiplesites
A192,"Acutemiliarytuberculosis,unspecified"
A198,Othermiliarytuberculosis
A199,"Miliarytuberculosis,unspecified"
A200,Bubonicplague
A201,Cellulocutaneousplague
A202,Pneumonicplague
A203,Plaguemeningitis
A207,Septicemicplague
A208,Otherformsofplague
A209,"Plague,unspecified"
A210,Ulceroglandulartularemia
A211,Oculoglandulartularemia
A212,Pulmonarytularemia
A213,Gastrointestinaltularemia
A217,Generalizedtularemia
A218,Otherformsoftularemia
A219,"Tularemia,unspecified"
A220,Cutaneousanthrax
A221,Pulmonaryanthrax
A222,Gastrointestinalanthrax
A227,Anthraxsepsis
A228,Otherformsofanthrax
A229,"Anthrax,unspecified"
A230,BrucellosisduetoBrucellamelitensis
A231,BrucellosisduetoBrucellaabortus
A232,BrucellosisduetoBrucellasuis
A233,BrucellosisduetoBrucellacanis
A238,Otherbrucellosis
A239,"Brucellosis,unspecified"
A240,Glanders
A241,Acuteandfulminatingmelioidosis
A242,Subacuteandchronicmelioidosis
A243,Othermelioidosis
A249,"Melioidosis,unspecified"
A250,Spirillosis
A251,Streptobacillosis
A259,"Rat-bitefever,unspecified"
A260,Cutaneouserysipeloid
A267,Erysipelothrixsepsis
A268,Otherformsoferysipeloid
A269,"Erysipeloid,unspecified"
A270,Leptospirosisicterohemorrhagica
A2781,Asepticmeningitisinleptospirosis
A2789,Otherformsofleptospirosis
A279,"Leptospirosis,unspecified"
A280,Pasteurellosis
A281,Cat-scratchdisease
A282,Extraintestinalyersiniosis
A288,"Otherspecifiedzoonoticbacterialdiseases,notelsewhereclassified"
A289,"Zoonoticbacterialdisease,unspecified"
B1082,Humanherpesvirus7infection
B1089,Otherhumanherpesvirusinfection
B150,HepatitisAwithhepaticcoma
B159,HepatitisAwithouthepaticcoma
B160,AcutehepatitisBwithdelta-agentwithhepaticcoma
B161,AcutehepatitisBwithdelta-agentwithouthepaticcoma
B162,AcutehepatitisBwithoutdelta-agentwithhepaticcoma
B169,AcutehepatitisBwithoutdelta-agentandwithouthepaticcoma
B170,Acutedelta-(super)infectionofhepatitisBcarrier
B1710,AcutehepatitisCwithouthepaticcoma
B1711,AcutehepatitisCwithhepaticcoma
B172,AcutehepatitisE
B178,Otherspecifiedacuteviralhepatitis
B179,"Acuteviralhepatitis,unspecified"
B180,ChronicviralhepatitisBwithdelta-agent
B181,ChronicviralhepatitisBwithoutdelta-agent
B182,ChronicviralhepatitisC
B188,Otherchronicviralhepatitis
B189,"Chronicviralhepatitis,unspecified"
B190,Unspecifiedviralhepatitiswithhepaticcoma
B1910,UnspecifiedviralhepatitisBwithouthepaticcoma
B1911,UnspecifiedviralhepatitisBwithhepaticcoma
B1920,UnspecifiedviralhepatitisCwithouthepaticcoma
B1921,UnspecifiedviralhepatitisCwithhepaticcoma
B199,Unspecifiedviralhepatitiswithouthepaticcoma
B20,Humanimmunodeficiencyvirus[HIV]disease
B250,Cytomegaloviralpneumonitis
B251,Cytomegaloviralhepatitis
B252,Cytomegaloviralpancreatitis
B258,Othercytomegaloviraldiseases
B259,"Cytomegaloviraldisease,unspecified"
B260,Mumpsorchitis
B261,Mumpsmeningitis
B262,Mumpsencephalitis
B263,Mumpspancreatitis
B2681,Mumpshepatitis
B2682,Mumpsmyocarditis
B2683,Mumpsnephritis
B2684,Mumpspolyneuropathy
B2685,Mumpsarthritis
B2689,Othermumpscomplications
B269,Mumpswithoutcomplication
B2700,Gammaherpesviralmononucleosiswithoutcomplication
B2701,Gammaherpesviralmononucleosiswithpolyneuropathy
B2702,Gammaherpesviralmononucleosiswithmeningitis
B2709,Gammaherpesviralmononucleosiswithothercomplications
B2710,Cytomegaloviralmononucleosiswithoutcomplications
B2711,Cytomegaloviralmononucleosiswithpolyneuropathy
B2712,Cytomegaloviralmononucleosiswithmeningitis
B2719,Cytomegaloviralmononucleosiswithothercomplication
B2780,Otherinfectiousmononucleosiswithoutcomplication
B2781,Otherinfectiousmononucleosiswithpolyneuropathy
B2782,Otherinfectiousmononucleosiswithmeningitis
B2789,Otherinfectiousmononucleosiswithothercomplication
B2790,"Infectiousmononucleosis,unspecifiedwithoutcomplication"
B2791,"Infectiousmononucleosis,unspecifiedwithpolyneuropathy"
B2792,"Infectiousmononucleosis,unspecifiedwithmeningitis"
B2799,"Infectiousmononucleosis,unspecifiedwithothercomplication"
B300,Keratoconjunctivitisduetoadenovirus
B301,Conjunctivitisduetoadenovirus
B302,Viralpharyngoconjunctivitis
B303,Acuteepidemichemorrhagicconjunctivitis(enteroviral)
B308,Otherviralconjunctivitis
B309,"Viralconjunctivitis,unspecified"
B330,Epidemicmyalgia
B331,RossRiverdisease
B3320,"Viralcarditis,unspecified"
B3321,Viralendocarditis
B3322,Viralmyocarditis
B3323,Viralpericarditis
B3324,Viralcardiomyopathy
B333,"Retrovirusinfections,notelsewhereclassified"
B334,Hantavirus(cardio)-pulmonarysyndrome[HPS][HCPS]
B338,Otherspecifiedviraldiseases
B340,"Adenovirusinfection,unspecified"
B341,"Enterovirusinfection,unspecified"
B342,"Coronavirusinfection,unspecified"
B343,"Parvovirusinfection,unspecified"
B344,"Papovavirusinfection,unspecified"
B348,Otherviralinfectionsofunspecifiedsite
B349,"Viralinfection,unspecified"
B350,Tineabarbaeandtineacapitis
B351,Tineaunguium
B352,Tineamanuum
B353,Tineapedis
B354,Tineacorporis
B355,Tineaimbricata
B356,Tineacruris
B358,Otherdermatophytoses
B359,"Dermatophytosis,unspecified"
C19,Malignantneoplasmofrectosigmoidjunction
C20,Malignantneoplasmofrectum
C210,"Malignantneoplasmofanus,unspecified"
C211,Malignantneoplasmofanalcanal
C212,Malignantneoplasmofcloacogeniczone
C218,"Malignantneoplasmofoverlappingsitesofrectum,anusandanalcanal"
C220,Livercellcarcinoma
C221,Intrahepaticbileductcarcinoma
C222,Hepatoblastoma
C223,Angiosarcomaofliver
C224,Othersarcomasofliver
C227,Otherspecifiedcarcinomasofliver
C228,"Malignantneoplasmofliver,primary,unspecifiedastotype"
C229,"Malignantneoplasmofliver,notspecifiedasprimaryorsecondary"
C23,Malignantneoplasmofgallbladder
C240,Malignantneoplasmofextrahepaticbileduct
C241,MalignantneoplasmofampullaofVater
C248,Malignantneoplasmofoverlappingsitesofbiliarytract
C249,"Malignantneoplasmofbiliarytract,unspecified"
C250,Malignantneoplasmofheadofpancreas
C251,Malignantneoplasmofbodyofpancreas
C252,Malignantneoplasmoftailofpancreas
C253,Malignantneoplasmofpancreaticduct
C254,Malignantneoplasmofendocrinepancreas
C257,Malignantneoplasmofotherpartsofpancreas
C258,Malignantneoplasmofoverlappingsitesofpancreas
C259,"Malignantneoplasmofpancreas,unspecified"
C260,"Malignantneoplasmofintestinaltract,partunspecified"
C261,Malignantneoplasmofspleen
C269,Malignantneoplasmofill-definedsiteswithinthedigestivesystem
C300,Malignantneoplasmofnasalcavity
C301,Malignantneoplasmofmiddleear
C310,Malignantneoplasmofmaxillarysinus
C311,Malignantneoplasmofethmoidalsinus
C312,Malignantneoplasmoffrontalsinus
C313,Malignantneoplasmofsphenoidsinus
C318,Malignantneoplasmofoverlappingsitesofaccessorysinuses
C319,"Malignantneoplasmofaccessorysinus,unspecified"
C320,Malignantneoplasmofglottis
C321,Malignantneoplasmofsupraglottis
C322,Malignantneoplasmofsubglottis
C323,Malignantneoplasmoflaryngealcartilage
C328,Malignantneoplasmofoverlappingsitesoflarynx
C329,"Malignantneoplasmoflarynx,unspecified"
C33,Malignantneoplasmoftrachea
C3400,Malignantneoplasmofunspecifiedmainbronchus
C3401,Malignantneoplasmofrightmainbronchus
C3402,Malignantneoplasmofleftmainbronchus
C3410,"Malignantneoplasmofupperlobe,unspecifiedbronchusorlung"
C3411,"Malignantneoplasmofupperlobe,rightbronchusorlung"
C3412,"Malignantneoplasmofupperlobe,leftbronchusorlung"
C342,"Malignantneoplasmofmiddlelobe,bronchusorlung"
C3430,"Malignantneoplasmoflowerlobe,unspecifiedbronchusorlung"
C3431,"Malignantneoplasmoflowerlobe,rightbronchusorlung"
C3432,"Malignantneoplasmoflowerlobe,leftbronchusorlung"
C3480,Malignantneoplasmofoverlappingsitesofunspecifiedbronchusandlung
C3481,Malignantneoplasmofoverlappingsitesofrightbronchusandlung
C3482,Malignantneoplasmofoverlappingsitesofleftbronchusandlung
C3490,Malignantneoplasmofunspecifiedpartofunspecifiedbronchusorlung
C3491,Malignantneoplasmofunspecifiedpartofrightbronchusorlung
C3492,Malignantneoplasmofunspecifiedpartofleftbronchusorlung
C37,Malignantneoplasmofthymus
C380,Malignantneoplasmofheart
C381,Malignantneoplasmofanteriormediastinum
C382,Malignantneoplasmofposteriormediastinum
C383,"Malignantneoplasmofmediastinum,partunspecified"
C384,Malignantneoplasmofpleura
C388,"Malignantneoplasmofoverlappingsitesofheart,mediastinumandpleura"
C390,"Malignantneoplasmofupperrespiratorytract,partunspecified"
C399,"Malignantneoplasmoflowerrespiratorytract,partunspecified"
C4000,Malignantneoplasmofscapulaandlongbonesofunspecifiedupperlimb
C4001,Malignantneoplasmofscapulaandlongbonesofrightupperlimb
C4002,Malignantneoplasmofscapulaandlongbonesofleftupperlimb
C4010,Malignantneoplasmofshortbonesofunspecifiedupperlimb
C4011,Malignantneoplasmofshortbonesofrightupperlimb
C4012,Malignantneoplasmofshortbonesofleftupperlimb
C4020,Malignantneoplasmoflongbonesofunspecifiedlowerlimb
C4021,Malignantneoplasmoflongbonesofrightlowerlimb
C4022,Malignantneoplasmoflongbonesofleftlowerlimb
C4030,Malignantneoplasmofshortbonesofunspecifiedlowerlimb
C4031,Malignantneoplasmofshortbonesofrightlowerlimb
C4032,Malignantneoplasmofshortbonesofleftlowerlimb
C4080,Malignantneoplasmofoverlappingsitesofboneandarticularcartilageofunspecifiedlimb
C4081,Malignantneoplasmofoverlappingsitesofboneandarticularcartilageofrightlimb
C4082,Malignantneoplasmofoverlappingsitesofboneandarticularcartilageofleftlimb
C4090,Malignantneoplasmofunspecifiedbonesandarticularcartilageofunspecifiedlimb
C4091,Malignantneoplasmofunspecifiedbonesandarticularcartilageofrightlimb
C4092,Malignantneoplasmofunspecifiedbonesandarticularcartilageofleftlimb
C410,Malignantneoplasmofbonesofskullandface
C411,Malignantneoplasmofmandible
C412,Malignantneoplasmofvertebralcolumn
C413,"Malignantneoplasmofribs,sternumandclavicle"
C414,"Malignantneoplasmofpelvicbones,sacrumandcoccyx"
C419,"Malignantneoplasmofboneandarticularcartilage,unspecified"
C430,Malignantmelanomaoflip
C4310,"Malignantmelanomaofunspecifiedeyelid,includingcanthus"
C43111,"Malignantmelanomaofrightuppereyelid,includingcanthus"
C43112,"Malignantmelanomaofrightlowereyelid,includingcanthus"
C43121,"Malignantmelanomaofleftuppereyelid,includingcanthus"
C43122,"Malignantmelanomaofleftlowereyelid,includingcanthus"
C4320,Malignantmelanomaofunspecifiedearandexternalauricularcanal
C4321,Malignantmelanomaofrightearandexternalauricularcanal
C4322,Malignantmelanomaofleftearandexternalauricularcanal
C4330,Malignantmelanomaofunspecifiedpartofface
C4331,Malignantmelanomaofnose
C4339,Malignantmelanomaofotherpartsofface
C434,Malignantmelanomaofscalpandneck
C4351,Malignantmelanomaofanalskin
C4352,Malignantmelanomaofskinofbreast
C4359,Malignantmelanomaofotherpartoftrunk
C4360,"Malignantmelanomaofunspecifiedupperlimb,includingshoulder"
C4361,"Malignantmelanomaofrightupperlimb,includingshoulder"
C4362,"Malignantmelanomaofleftupperlimb,includingshoulder"
C4370,"Malignantmelanomaofunspecifiedlowerlimb,includinghip"
C4371,"Malignantmelanomaofrightlowerlimb,includinghip"
C4372,"Malignantmelanomaofleftlowerlimb,includinghip"
C438,Malignantmelanomaofoverlappingsitesofskin
C439,"Malignantmelanomaofskin,unspecified"
C4A0,Merkelcellcarcinomaoflip
C4A10,"Merkelcellcarcinomaofunspecifiedeyelid,includingcanthus"
C4A111,"Merkelcellcarcinomaofrightuppereyelid,includingcanthus"
C4A112,"Merkelcellcarcinomaofrightlowereyelid,includingcanthus"
C4A121,"Merkelcellcarcinomaofleftuppereyelid,includingcanthus"
C4A122,"Merkelcellcarcinomaofleftlowereyelid,includingcanthus"
C4A20,Merkelcellcarcinomaofunspecifiedearandexternalauricularcanal
C4A21,Merkelcellcarcinomaofrightearandexternalauricularcanal
C4A22,Merkelcellcarcinomaofleftearandexternalauricularcanal
C4A30,Merkelcellcarcinomaofunspecifiedpartofface
C4A31,Merkelcellcarcinomaofnose
C4A39,Merkelcellcarcinomaofotherpartsofface
C4A4,Merkelcellcarcinomaofscalpandneck
C4A51,Merkelcellcarcinomaofanalskin
C4A52,Merkelcellcarcinomaofskinofbreast
C4A59,Merkelcellcarcinomaofotherpartoftrunk
C4A60,"Merkelcellcarcinomaofunspecifiedupperlimb,includingshoulder"
C4A61,"Merkelcellcarcinomaofrightupperlimb,includingshoulder"
C4A62,"Merkelcellcarcinomaofleftupperlimb,includingshoulder"
C4A70,"Merkelcellcarcinomaofunspecifiedlowerlimb,includinghip"
C4A71,"Merkelcellcarcinomaofrightlowerlimb,includinghip"
C4A72,"Merkelcellcarcinomaofleftlowerlimb,includinghip"
C4A8,Merkelcellcarcinomaofoverlappingsites
C4A9,"Merkelcellcarcinoma,unspecified"
C4400,Unspecifiedmalignantneoplasmofskinoflip
C4401,Basalcellcarcinomaofskinoflip
C4402,Squamouscellcarcinomaofskinoflip
C4409,Otherspecifiedmalignantneoplasmofskinoflip
C44101,"Unspecifiedmalignantneoplasmofskinofunspecifiedeyelid,includingcanthus"
C441021,"Unspecifiedmalignantneoplasmofskinofrightuppereyelid,includingcanthus"
C441022,"Unspecifiedmalignantneoplasmofskinofrightlowereyelid,includingcanthus"
C441091,"Unspecifiedmalignantneoplasmofskinofleftuppereyelid,includingcanthus"
C441092,"Unspecifiedmalignantneoplasmofskinofleftlowereyelid,includingcanthus"
C44111,"Basalcellcarcinomaofskinofunspecifiedeyelid,includingcanthus"
C441121,"Basalcellcarcinomaofskinofrightuppereyelid,includingcanthus"
C441122,"Basalcellcarcinomaofskinofrightlowereyelid,includingcanthus"
C441191,"Basalcellcarcinomaofskinofleftuppereyelid,includingcanthus"
C441192,"Basalcellcarcinomaofskinofleftlowereyelid,includingcanthus"
C44121,"Squamouscellcarcinomaofskinofunspecifiedeyelid,includingcanthus"
C441221,"Squamouscellcarcinomaofskinofrightuppereyelid,includingcanthus"
C441222,"Squamouscellcarcinomaofskinofrightlowereyelid,includingcanthus"
C441291,"Squamouscellcarcinomaofskinofleftuppereyelid,includingcanthus"
C441292,"Squamouscellcarcinomaofskinofleftlowereyelid,includingcanthus"
C44131,"Sebaceouscellcarcinomaofskinofunspecifiedeyelid,includingcanthus"
C441321,"Sebaceouscellcarcinomaofskinofrightuppereyelid,includingcanthus"
C441322,"Sebaceouscellcarcinomaofskinofrightlowereyelid,includingcanthus"
C441391,"Sebaceouscellcarcinomaofskinofleftuppereyelid,includingcanthus"
C441392,"Sebaceouscellcarcinomaofskinofleftlowereyelid,includingcanthus"
C44191,"Otherspecifiedmalignantneoplasmofskinofunspecifiedeyelid,includingcanthus"
C441921,"Otherspecifiedmalignantneoplasmofskinofrightuppereyelid,includingcanthus"
C441922,"Otherspecifiedmalignantneoplasmofskinofrightlowereyelid,includingcanthus"
C441991,"Otherspecifiedmalignantneoplasmofskinofleftuppereyelid,includingcanthus"
C441992,"Otherspecifiedmalignantneoplasmofskinofleftlowereyelid,includingcanthus"
C44201,Unspecifiedmalignantneoplasmofskinofunspecifiedearandexternalauricularcanal
C44202,Unspecifiedmalignantneoplasmofskinofrightearandexternalauricularcanal
C44209,Unspecifiedmalignantneoplasmofskinofleftearandexternalauricularcanal
C44211,Basalcellcarcinomaofskinofunspecifiedearandexternalauricularcanal
C44212,Basalcellcarcinomaofskinofrightearandexternalauricularcanal
C44219,Basalcellcarcinomaofskinofleftearandexternalauricularcanal
C44221,Squamouscellcarcinomaofskinofunspecifiedearandexternalauricularcanal
C44222,Squamouscellcarcinomaofskinofrightearandexternalauricularcanal
C44229,Squamouscellcarcinomaofskinofleftearandexternalauricularcanal
C44291,Otherspecifiedmalignantneoplasmofskinofunspecifiedearandexternalauricularcanal
C44292,Otherspecifiedmalignantneoplasmofskinofrightearandexternalauricularcanal
C44299,Otherspecifiedmalignantneoplasmofskinofleftearandexternalauricularcanal
C44300,Unspecifiedmalignantneoplasmofskinofunspecifiedpartofface
C44301,Unspecifiedmalignantneoplasmofskinofnose
C44309,Unspecifiedmalignantneoplasmofskinofotherpartsofface
C44310,Basalcellcarcinomaofskinofunspecifiedpartsofface
C44311,Basalcellcarcinomaofskinofnose
C44319,Basalcellcarcinomaofskinofotherpartsofface
C44320,Squamouscellcarcinomaofskinofunspecifiedpartsofface
C44321,Squamouscellcarcinomaofskinofnose
C44329,Squamouscellcarcinomaofskinofotherpartsofface
C44390,Otherspecifiedmalignantneoplasmofskinofunspecifiedpartsofface
C44391,Otherspecifiedmalignantneoplasmofskinofnose
C44399,Otherspecifiedmalignantneoplasmofskinofotherpartsofface
C4440,Unspecifiedmalignantneoplasmofskinofscalpandneck
C4441,Basalcellcarcinomaofskinofscalpandneck
C4442,Squamouscellcarcinomaofskinofscalpandneck
C4449,Otherspecifiedmalignantneoplasmofskinofscalpandneck
C44500,Unspecifiedmalignantneoplasmofanalskin
C44501,Unspecifiedmalignantneoplasmofskinofbreast
C44509,Unspecifiedmalignantneoplasmofskinofotherpartoftrunk
C44510,Basalcellcarcinomaofanalskin
C44511,Basalcellcarcinomaofskinofbreast
C44519,Basalcellcarcinomaofskinofotherpartoftrunk
C44520,Squamouscellcarcinomaofanalskin
C44521,Squamouscellcarcinomaofskinofbreast
C44529,Squamouscellcarcinomaofskinofotherpartoftrunk
C44590,Otherspecifiedmalignantneoplasmofanalskin
C44591,Otherspecifiedmalignantneoplasmofskinofbreast
C44599,Otherspecifiedmalignantneoplasmofskinofotherpartoftrunk
C44601,"Unspecifiedmalignantneoplasmofskinofunspecifiedupperlimb,includingshoulder"
C44602,"Unspecifiedmalignantneoplasmofskinofrightupperlimb,includingshoulder"
C44609,"Unspecifiedmalignantneoplasmofskinofleftupperlimb,includingshoulder"
C44611,"Basalcellcarcinomaofskinofunspecifiedupperlimb,includingshoulder"
C44612,"Basalcellcarcinomaofskinofrightupperlimb,includingshoulder"
C44619,"Basalcellcarcinomaofskinofleftupperlimb,includingshoulder"
C44621,"Squamouscellcarcinomaofskinofunspecifiedupperlimb,includingshoulder"
C44622,"Squamouscellcarcinomaofskinofrightupperlimb,includingshoulder"
C44629,"Squamouscellcarcinomaofskinofleftupperlimb,includingshoulder"
C44691,"Otherspecifiedmalignantneoplasmofskinofunspecifiedupperlimb,includingshoulder"
C44692,"Otherspecifiedmalignantneoplasmofskinofrightupperlimb,includingshoulder"
C44699,"Otherspecifiedmalignantneoplasmofskinofleftupperlimb,includingshoulder"
C44701,"Unspecifiedmalignantneoplasmofskinofunspecifiedlowerlimb,includinghip"
C44702,"Unspecifiedmalignantneoplasmofskinofrightlowerlimb,includinghip"
C44709,"Unspecifiedmalignantneoplasmofskinofleftlowerlimb,includinghip"
C44711,"Basalcellcarcinomaofskinofunspecifiedlowerlimb,includinghip"
C44712,"Basalcellcarcinomaofskinofrightlowerlimb,includinghip"
C44719,"Basalcellcarcinomaofskinofleftlowerlimb,includinghip"
C44721,"Squamouscellcarcinomaofskinofunspecifiedlowerlimb,includinghip"
C44722,"Squamouscellcarcinomaofskinofrightlowerlimb,includinghip"
C44729,"Squamouscellcarcinomaofskinofleftlowerlimb,includinghip"
C44791,"Otherspecifiedmalignantneoplasmofskinofunspecifiedlowerlimb,includinghip"
C44792,"Otherspecifiedmalignantneoplasmofskinofrightlowerlimb,includinghip"
C44799,"Otherspecifiedmalignantneoplasmofskinofleftlowerlimb,includinghip"
C4480,Unspecifiedmalignantneoplasmofoverlappingsitesofskin
C4481,Basalcellcarcinomaofoverlappingsitesofskin
C4482,Squamouscellcarcinomaofoverlappingsitesofskin
C4489,Otherspecifiedmalignantneoplasmofoverlappingsitesofskin
C4490,"Unspecifiedmalignantneoplasmofskin,unspecified"
C4491,"Basalcellcarcinomaofskin,unspecified"
C4492,"Squamouscellcarcinomaofskin,unspecified"
C4499,"Otherspecifiedmalignantneoplasmofskin,unspecified"
C450,Mesotheliomaofpleura
C451,Mesotheliomaofperitoneum
C452,Mesotheliomaofpericardium
C457,Mesotheliomaofothersites
C459,"Mesothelioma,unspecified"
C460,Kaposi'ssarcomaofskin
C461,Kaposi'ssarcomaofsofttissue
C462,Kaposi'ssarcomaofpalate
C463,Kaposi'ssarcomaoflymphnodes
C464,Kaposi'ssarcomaofgastrointestinalsites
C4650,Kaposi'ssarcomaofunspecifiedlung
C4651,Kaposi'ssarcomaofrightlung
C4652,Kaposi'ssarcomaofleftlung
