icdCode,description
A079,"Protozoalintestinaldisease,unspecified"
A080,Rotaviralenteritis
A0811,AcutegastroenteropathyduetoNorwalkagent
A0819,Acutegastroenteropathyduetoothersmallroundviruses
A082,Adenoviralenteritis
A0831,Calicivirusenteritis
A0832,Astrovirusenteritis
A0839,Otherviralenteritis
A084,"Viralintestinalinfection,unspecified"
A088,Otherspecifiedintestinalinfections
A09,"Infectiousgastroenteritisandcolitis,unspecified"
A150,Tuberculosisoflung
A154,Tuberculosisofintrathoraciclymphnodes
A155,"Tuberculosisoflarynx,tracheaandbronchus"
A156,Tuberculouspleurisy
A157,Primaryrespiratorytuberculosis
A158,Otherrespiratorytuberculosis
A159,Respiratorytuberculosisunspecified
A170,Tuberculousmeningitis
A171,Meningealtuberculoma
A1781,Tuberculomaofbrainandspinalcord
A1782,Tuberculousmeningoencephalitis
A1783,Tuberculousneuritis
A1789,Othertuberculosisofnervoussystem
A179,"Tuberculosisofnervoussystem,unspecified"
A1801,Tuberculosisofspine
A1802,Tuberculousarthritisofotherjoints
A1803,Tuberculosisofotherbones
A1809,Othermusculoskeletaltuberculosis
A1810,"Tuberculosisofgenitourinarysystem,unspecified"
A1811,Tuberculosisofkidneyandureter
A1812,Tuberculosisofbladder
A1813,Tuberculosisofotherurinaryorgans
A1814,Tuberculosisofprostate
A1815,Tuberculosisofothermalegenitalorgans
A1816,Tuberculosisofcervix
A1817,Tuberculousfemalepelvicinflammatorydisease
A1818,Tuberculosisofotherfemalegenitalorgans
A182,Tuberculousperipherallymphadenopathy
A1831,Tuberculousperitonitis
A1832,Tuberculousenteritis
A1839,Retroperitonealtuberculosis
A184,Tuberculosisofskinandsubcutaneoustissue
A1850,"Tuberculosisofeye,unspecified"
A1851,Tuberculousepiscleritis
A1852,Tuberculouskeratitis
A1853,Tuberculouschorioretinitis
A1854,Tuberculousiridocyclitis
A1859,Othertuberculosisofeye
A186,Tuberculosisof(inner)(middle)ear
A187,Tuberculosisofadrenalglands
A1881,Tuberculosisofthyroidgland
A1882,Tuberculosisofotherendocrineglands
A1883,"Tuberculosisofdigestivetractorgans,notelsewhereclassified"
A1884,Tuberculosisofheart
A1885,Tuberculosisofspleen
A1889,Tuberculosisofothersites
A190,Acutemiliarytuberculosisofasinglespecifiedsite
A191,Acutemiliarytuberculosisofmultiplesites
A192,"Acutemiliarytuberculosis,unspecified"
A198,Othermiliarytuberculosis
A199,"Miliarytuberculosis,unspecified"
A200,Bubonicplague
A201,Cellulocutaneousplague
A202,Pneumonicplague
A203,Plaguemeningitis
A207,Septicemicplague
A208,Otherformsofplague
A209,"Plague,unspecified"
A210,Ulceroglandulartularemia
A211,Oculoglandulartularemia
A212,Pulmonarytularemia
A213,Gastrointestinaltularemia
A217,Generalizedtularemia
A218,Otherformsoftularemia
A219,"Tularemia,unspecified"
A220,Cutaneousanthrax
A221,Pulmonaryanthrax
A222,Gastrointestinalanthrax
A227,Anthraxsepsis
A228,Otherformsofanthrax
A229,"Anthrax,unspecified"
A230,BrucellosisduetoBrucellamelitensis
A231,BrucellosisduetoBrucellaabortus
A232,BrucellosisduetoBrucellasuis
A233,BrucellosisduetoBrucellacanis
A238,Otherbrucellosis
A239,"Brucellosis,unspecified"
A240,Glanders
A241,Acuteandfulminatingmelioidosis
A242,Subacuteandchronicmelioidosis
A243,Othermelioidosis
A249,"Melioidosis,unspecified"
A250,Spirillosis
A251,Streptobacillosis
A259,"Rat-bitefever,unspecified"
A260,Cutaneouserysipeloid
A267,Erysipelothrixsepsis
A268,Otherformsoferysipeloid
A269,"Erysipeloid,unspecified"
A270,Leptospirosisicterohemorrhagica
A2781,Asepticmeningitisinleptospirosis
A2789,Otherformsofleptospirosis
A279,"Leptospirosis,unspecified"
A280,Pasteurellosis
A281,Cat-scratchdisease
A282,Extraintestinalyersiniosis
A288,"Otherspecifiedzoonoticbacterialdiseases,notelsewhereclassified"
A289,"Zoonoticbacterialdisease,unspecified"
A300,Indeterminateleprosy
A301,Tuberculoidleprosy
A302,Borderlinetuberculoidleprosy
A303,Borderlineleprosy
A304,Borderlinelepromatousleprosy
A305,Lepromatousleprosy
A308,Otherformsofleprosy
A309,"Leprosy,unspecified"
A310,Pulmonarymycobacterialinfection
A311,Cutaneousmycobacterialinfection
A312,Disseminatedmycobacteriumavium-intracellularecomplex(DMAC)
A318,Othermycobacterialinfections
A319,"Mycobacterialinfection,unspecified"
A320,Cutaneouslisteriosis
A3211,Listerialmeningitis
A3212,Listerialmeningoencephalitis
A327,Listerialsepsis
A3281,Oculoglandularlisteriosis
A3282,Listerialendocarditis
A3289,Otherformsoflisteriosis
A329,"Listeriosis,unspecified"
A33,Tetanusneonatorum
A34,Obstetricaltetanus
A35,Othertetanus
A360,Pharyngealdiphtheria
A361,Nasopharyngealdiphtheria
A362,Laryngealdiphtheria
A363,Cutaneousdiphtheria
A3681,Diphtheriticcardiomyopathy
A3682,Diphtheriticradiculomyelitis
A3683,Diphtheriticpolyneuritis
A3684,Diphtheritictubulo-interstitialnephropathy
A3685,Diphtheriticcystitis
A3686,Diphtheriticconjunctivitis
A3689,Otherdiphtheriticcomplications
A369,"Diphtheria,unspecified"
A3700,WhoopingcoughduetoBordetellapertussiswithoutpneumonia
A3701,WhoopingcoughduetoBordetellapertussiswithpneumonia
A3710,WhoopingcoughduetoBordetellaparapertussiswithoutpneumonia
A3711,WhoopingcoughduetoBordetellaparapertussiswithpneumonia
A3780,WhoopingcoughduetootherBordetellaspecieswithoutpneumonia
A3781,WhoopingcoughduetootherBordetellaspecieswithpneumonia
A3790,"Whoopingcough,unspecifiedspecieswithoutpneumonia"
A3791,"Whoopingcough,unspecifiedspecieswithpneumonia"
A380,Scarletfeverwithotitismedia
A381,Scarletfeverwithmyocarditis
A388,Scarletfeverwithothercomplications
A389,"Scarletfever,uncomplicated"
A390,Meningococcalmeningitis
A391,Waterhouse-Friderichsensyndrome
A392,Acutemeningococcemia
A393,Chronicmeningococcemia
A394,"Meningococcemia,unspecified"
A3950,"Meningococcalcarditis,unspecified"
A3951,Meningococcalendocarditis
A3952,Meningococcalmyocarditis
A3953,Meningococcalpericarditis
A3981,Meningococcalencephalitis
A3982,Meningococcalretrobulbarneuritis
A3983,Meningococcalarthritis
A3984,Postmeningococcalarthritis
A3989,Othermeningococcalinfections
A399,"Meningococcalinfection,unspecified"
A400,"Sepsisduetostreptococcus,groupA"
A401,"Sepsisduetostreptococcus,groupB"
A403,SepsisduetoStreptococcuspneumoniae
A408,Otherstreptococcalsepsis
A409,"Streptococcalsepsis,unspecified"
A4101,SepsisduetoMethicillinsusceptibleStaphylococcusaureus
A4102,SepsisduetoMethicillinresistantStaphylococcusaureus
A411,Sepsisduetootherspecifiedstaphylococcus
A412,Sepsisduetounspecifiedstaphylococcus
A413,SepsisduetoHemophilusinfluenzae
A414,Sepsisduetoanaerobes
A4150,"Gram-negativesepsis,unspecified"
A4151,SepsisduetoEscherichiacoli[E.coli]
A4152,SepsisduetoPseudomonas
A4153,SepsisduetoSerratia
A4159,OtherGram-negativesepsis
A4181,SepsisduetoEnterococcus
A4189,Otherspecifiedsepsis
A419,"Sepsis,unspecifiedorganism"
A420,Pulmonaryactinomycosis
A421,Abdominalactinomycosis
A422,Cervicofacialactinomycosis
A427,Actinomycoticsepsis
A4281,Actinomycoticmeningitis
A4282,Actinomycoticencephalitis
A4289,Otherformsofactinomycosis
A429,"Actinomycosis,unspecified"
A430,Pulmonarynocardiosis
A431,Cutaneousnocardiosis
A438,Otherformsofnocardiosis
A439,"Nocardiosis,unspecified"
A440,Systemicbartonellosis
A441,Cutaneousandmucocutaneousbartonellosis
A448,Otherformsofbartonellosis
A449,"Bartonellosis,unspecified"
A46,Erysipelas
A480,Gasgangrene
A481,Legionnaires'disease
A482,NonpneumonicLegionnaires'disease[Pontiacfever]
A483,Toxicshocksyndrome
A484,Brazilianpurpuricfever
A4851,Infantbotulism
A4852,Woundbotulism
A488,Otherspecifiedbacterialdiseases
A4901,"MethicillinsusceptibleStaphylococcusaureusinfection,unspecifiedsite"
A4902,"MethicillinresistantStaphylococcusaureusinfection,unspecifiedsite"
A491,"Streptococcalinfection,unspecifiedsite"
A492,"Hemophilusinfluenzaeinfection,unspecifiedsite"
A493,"Mycoplasmainfection,unspecifiedsite"
A498,Otherbacterialinfectionsofunspecifiedsite
A499,"Bacterialinfection,unspecified"
A5001,Earlycongenitalsyphiliticoculopathy
A5002,Earlycongenitalsyphiliticosteochondropathy
A5003,Earlycongenitalsyphiliticpharyngitis
A5004,Earlycongenitalsyphiliticpneumonia
A5005,Earlycongenitalsyphiliticrhinitis
A5006,Earlycutaneouscongenitalsyphilis
A5007,Earlymucocutaneouscongenitalsyphilis
A5008,Earlyvisceralcongenitalsyphilis
A5009,"Otherearlycongenitalsyphilis,symptomatic"
A501,"Earlycongenitalsyphilis,latent"
A502,"Earlycongenitalsyphilis,unspecified"
A5030,"Latecongenitalsyphiliticoculopathy,unspecified"
A5031,Latecongenitalsyphiliticinterstitialkeratitis
A5032,Latecongenitalsyphiliticchorioretinitis
A5039,Otherlatecongenitalsyphiliticoculopathy
A5040,"Latecongenitalneurosyphilis,unspecified"
A5041,Latecongenitalsyphiliticmeningitis
A5042,Latecongenitalsyphiliticencephalitis
A5043,Latecongenitalsyphiliticpolyneuropathy
A5044,Latecongenitalsyphiliticopticnerveatrophy
A5045,Juvenilegeneralparesis
A5049,Otherlatecongenitalneurosyphilis
A5051,Clutton'sjoints
A5052,Hutchinson'steeth
A5053,Hutchinson'striad
A5054,Latecongenitalcardiovascularsyphilis
A5055,Latecongenitalsyphiliticarthropathy
A5056,Latecongenitalsyphiliticosteochondropathy
A5057,Syphiliticsaddlenose
A5059,"Otherlatecongenitalsyphilis,symptomatic"
A506,"Latecongenitalsyphilis,latent"
A507,"Latecongenitalsyphilis,unspecified"
A509,"Congenitalsyphilis,unspecified"
A510,Primarygenitalsyphilis
A511,Primaryanalsyphilis
A512,Primarysyphilisofothersites
A5131,Condylomalatum
A5132,Syphiliticalopecia
A5139,Othersecondarysyphilisofskin
A5141,Secondarysyphiliticmeningitis
A5142,Secondarysyphiliticfemalepelvicdisease
A5143,Secondarysyphiliticoculopathy
A5144,Secondarysyphiliticnephritis
A5145,Secondarysyphilitichepatitis
A5146,Secondarysyphiliticosteopathy
A5149,Othersecondarysyphiliticconditions
A515,"Earlysyphilis,latent"
A519,"Earlysyphilis,unspecified"
A5200,"Cardiovascularsyphilis,unspecified"
A5201,Syphiliticaneurysmofaorta
A5202,Syphiliticaortitis
A5203,Syphiliticendocarditis
A5204,Syphiliticcerebralarteritis
A5205,Othercerebrovascularsyphilis
A5206,Othersyphiliticheartinvolvement
A5209,Othercardiovascularsyphilis
A5210,"Symptomaticneurosyphilis,unspecified"
A5211,Tabesdorsalis
A5212,Othercerebrospinalsyphilis
A5213,Latesyphiliticmeningitis
A5214,Latesyphiliticencephalitis
A5215,Latesyphiliticneuropathy
A5216,Charcot'sarthropathy(tabetic)
A5217,Generalparesis
A5219,Othersymptomaticneurosyphilis
A522,Asymptomaticneurosyphilis
A523,"Neurosyphilis,unspecified"
A5271,Latesyphiliticoculopathy
A5272,Syphilisoflungandbronchus
A5273,Symptomaticlatesyphilisofotherrespiratoryorgans
A5274,Syphilisofliverandotherviscera
A5275,Syphilisofkidneyandureter
A5276,Othergenitourinarysymptomaticlatesyphilis
A5277,Syphilisofboneandjoint
A5278,Syphilisofothermusculoskeletaltissue
A5279,Othersymptomaticlatesyphilis
A528,"Latesyphilis,latent"
A529,"Latesyphilis,unspecified"
A530,"Latentsyphilis,unspecifiedasearlyorlate"
A539,"Syphilis,unspecified"
A5400,"Gonococcalinfectionoflowergenitourinarytract,unspecified"
A5401,"Gonococcalcystitisandurethritis,unspecified"
A5402,"Gonococcalvulvovaginitis,unspecified"
A5403,"Gonococcalcervicitis,unspecified"
A5409,Othergonococcalinfectionoflowergenitourinarytract
A541,Gonococcalinfectionoflowergenitourinarytractwithperiurethralandaccessoryglandabscess
A5421,Gonococcalinfectionofkidneyandureter
A5422,Gonococcalprostatitis
A5423,Gonococcalinfectionofothermalegenitalorgans
A5424,Gonococcalfemalepelvicinflammatorydisease
A5429,Othergonococcalgenitourinaryinfections
A5430,"Gonococcalinfectionofeye,unspecified"
A5431,Gonococcalconjunctivitis
A5432,Gonococcaliridocyclitis
A5433,Gonococcalkeratitis
A5439,Othergonococcaleyeinfection
A5440,"Gonococcalinfectionofmusculoskeletalsystem,unspecified"
A5441,Gonococcalspondylopathy
A5442,Gonococcalarthritis
A5443,Gonococcalosteomyelitis
A5449,Gonococcalinfectionofothermusculoskeletaltissue
A545,Gonococcalpharyngitis
A546,Gonococcalinfectionofanusandrectum
A5481,Gonococcalmeningitis
A5482,Gonococcalbrainabscess
A5483,Gonococcalheartinfection
A5484,Gonococcalpneumonia
A5485,Gonococcalperitonitis
A5486,Gonococcalsepsis
A5489,Othergonococcalinfections
A549,"Gonococcalinfection,unspecified"
A55,Chlamydiallymphogranuloma(venereum)
A5600,"Chlamydialinfectionoflowergenitourinarytract,unspecified"
A5601,Chlamydialcystitisandurethritis
A5602,Chlamydialvulvovaginitis
A5609,Otherchlamydialinfectionoflowergenitourinarytract
A5611,Chlamydialfemalepelvicinflammatorydisease
A5619,Otherchlamydialgenitourinaryinfection
A562,"Chlamydialinfectionofgenitourinarytract,unspecified"
A563,Chlamydialinfectionofanusandrectum
A564,Chlamydialinfectionofpharynx
A568,Sexuallytransmittedchlamydialinfectionofothersites
A57,Chancroid
A58,Granulomainguinale
A5900,"Urogenitaltrichomoniasis,unspecified"
A5901,Trichomonalvulvovaginitis
A5902,Trichomonalprostatitis
A5903,Trichomonalcystitisandurethritis
A5909,Otherurogenitaltrichomoniasis
A598,Trichomoniasisofothersites
A599,"Trichomoniasis,unspecified"
A6000,"Herpesviralinfectionofurogenitalsystem,unspecified"
A6001,Herpesviralinfectionofpenis
A6002,Herpesviralinfectionofothermalegenitalorgans
A6003,Herpesviralcervicitis
A6004,Herpesviralvulvovaginitis
A6009,Herpesviralinfectionofotherurogenitaltract
A601,Herpesviralinfectionofperianalskinandrectum
A609,"Anogenitalherpesviralinfection,unspecified"
A630,Anogenital(venereal)warts
A638,Otherspecifiedpredominantlysexuallytransmitteddiseases
A64,Unspecifiedsexuallytransmitteddisease
A65,Nonvenerealsyphilis
A660,Initiallesionsofyaws
A661,Multiplepapillomataandwetcrabyaws
A662,Otherearlyskinlesionsofyaws
A663,Hyperkeratosisofyaws
A664,Gummataandulcersofyaws
A665,Gangosa
A666,Boneandjointlesionsofyaws
A667,Othermanifestationsofyaws
A668,Latentyaws
A669,"Yaws,unspecified"
A670,Primarylesionsofpinta
A671,Intermediatelesionsofpinta
A672,Latelesionsofpinta
A673,Mixedlesionsofpinta
A679,"Pinta,unspecified"
A680,Louse-bornerelapsingfever
A681,Tick-bornerelapsingfever
A689,"Relapsingfever,unspecified"
A690,Necrotizingulcerativestomatitis
A691,OtherVincent'sinfections
A6920,"Lymedisease,unspecified"
A6921,MeningitisduetoLymedisease
A6922,OtherneurologicdisordersinLymedisease
A6923,ArthritisduetoLymedisease
A6929,OtherconditionsassociatedwithLymedisease
A698,Otherspecifiedspirochetalinfections
A699,"Spirochetalinfection,unspecified"
A70,Chlamydiapsittaciinfections
A710,Initialstageoftrachoma
A711,Activestageoftrachoma
A719,"Trachoma,unspecified"
A740,Chlamydialconjunctivitis
A7481,Chlamydialperitonitis
A7489,Otherchlamydialdiseases
A749,"Chlamydialinfection,unspecified"
A750,Epidemiclouse-bornetyphusfeverduetoRickettsiaprowazekii
A751,Recrudescenttyphus[Brill'sdisease]
A752,TyphusfeverduetoRickettsiatyphi
A753,TyphusfeverduetoRickettsiatsutsugamushi
A759,"Typhusfever,unspecified"
A770,SpottedfeverduetoRickettsiarickettsii
A771,SpottedfeverduetoRickettsiaconorii
A772,SpottedfeverduetoRickettsiasiberica
A773,SpottedfeverduetoRickettsiaaustralis
A7740,"Ehrlichiosis,unspecified"
A7741,Ehrlichiosischafeensis[E.chafeensis]
A7749,Otherehrlichiosis
A778,Otherspottedfevers
A779,"Spottedfever,unspecified"
A78,Qfever
A790,Trenchfever
A791,RickettsialpoxduetoRickettsiaakari
A7981,RickettsiosisduetoEhrlichiasennetsu
A7982,Anaplasmosis[A.phagocytophilum]
A7989,Otherspecifiedrickettsioses
A799,"Rickettsiosis,unspecified"
A800,"Acuteparalyticpoliomyelitis,vaccine-associated"
A801,"Acuteparalyticpoliomyelitis,wildvirus,imported"
A802,"Acuteparalyticpoliomyelitis,wildvirus,indigenous"
A8030,"Acuteparalyticpoliomyelitis,unspecified"
A8039,Otheracuteparalyticpoliomyelitis
A804,Acutenonparalyticpoliomyelitis
A809,"Acutepoliomyelitis,unspecified"
A8100,"Creutzfeldt-Jakobdisease,unspecified"
A8101,VariantCreutzfeldt-Jakobdisease
A8109,OtherCreutzfeldt-Jakobdisease
A811,Subacutesclerosingpanencephalitis
A812,Progressivemultifocalleukoencephalopathy
A8181,Kuru
A8182,Gerstmann-Straussler-Scheinkersyndrome
A8183,Fatalfamilialinsomnia
A8189,Otheratypicalvirusinfectionsofcentralnervoussystem
A819,"Atypicalvirusinfectionofcentralnervoussystem,unspecified"
A820,Sylvaticrabies
A821,Urbanrabies
A829,"Rabies,unspecified"
A830,Japaneseencephalitis
A831,Westernequineencephalitis
A832,Easternequineencephalitis
A833,StLouisencephalitis
A834,Australianencephalitis
A835,Californiaencephalitis
A836,Rociovirusdisease
A838,Othermosquito-borneviralencephalitis
A839,"Mosquito-borneviralencephalitis,unspecified"
A840,FarEasterntick-borneencephalitis[Russianspring-summerencephalitis]
A841,CentralEuropeantick-borneencephalitis
A8481,Powassanvirusdisease
A8489,Othertick-borneviralencephalitis
A849,"Tick-borneviralencephalitis,unspecified"
A850,Enteroviralencephalitis
A851,Adenoviralencephalitis
A852,"Arthropod-borneviralencephalitis,unspecified"
A858,Otherspecifiedviralencephalitis
A86,Unspecifiedviralencephalitis
A870,Enteroviralmeningitis
A871,Adenoviralmeningitis
A872,Lymphocyticchoriomeningitis
A878,Otherviralmeningitis
A879,"Viralmeningitis,unspecified"
A880,Enteroviralexanthematousfever[Bostonexanthem]
A881,Epidemicvertigo
A888,Otherspecifiedviralinfectionsofcentralnervoussystem
A89,Unspecifiedviralinfectionofcentralnervoussystem
A90,Denguefever[classicaldengue]
A91,Denguehemorrhagicfever
A920,Chikungunyavirusdisease
A921,O'nyong-nyongfever
A922,Venezuelanequinefever
A9230,"WestNilevirusinfection,unspecified"
A9231,WestNilevirusinfectionwithencephalitis
A9232,WestNilevirusinfectionwithotherneurologicmanifestation
A9239,WestNilevirusinfectionwithothercomplications
A924,RiftValleyfever
A925,Zikavirusdisease
A928,Otherspecifiedmosquito-borneviralfevers
A929,"Mosquito-borneviralfever,unspecified"
A930,Oropouchevirusdisease
A931,Sandflyfever
A932,Coloradotickfever
A938,Otherspecifiedarthropod-borneviralfevers
A94,Unspecifiedarthropod-borneviralfever
A950,Sylvaticyellowfever
A951,Urbanyellowfever
A959,"Yellowfever,unspecified"
A960,Juninhemorrhagicfever
A961,Machupohemorrhagicfever
A962,Lassafever
A968,Otherarenaviralhemorrhagicfevers
A969,"Arenaviralhemorrhagicfever,unspecified"
A980,Crimean-Congohemorrhagicfever
A981,Omskhemorrhagicfever
A982,KyasanurForestdisease
A983,Marburgvirusdisease
A984,Ebolavirusdisease
A985,Hemorrhagicfeverwithrenalsyndrome
A988,Otherspecifiedviralhemorrhagicfevers
A99,Unspecifiedviralhemorrhagicfever
B000,Eczemaherpeticum
B001,Herpesviralvesiculardermatitis
B002,Herpesviralgingivostomatitisandpharyngotonsillitis
B003,Herpesviralmeningitis
B004,Herpesviralencephalitis
B0050,"Herpesviraloculardisease,unspecified"
B0051,Herpesviraliridocyclitis
B0052,Herpesviralkeratitis
B0053,Herpesviralconjunctivitis
B0059,Otherherpesviraldiseaseofeye
B007,Disseminatedherpesviraldisease
B0081,Herpesviralhepatitis
B0082,Herpessimplexmyelitis
B0089,Otherherpesviralinfection
B009,"Herpesviralinfection,unspecified"
B010,Varicellameningitis
B0111,Varicellaencephalitisandencephalomyelitis
B0112,Varicellamyelitis
B012,Varicellapneumonia
B0181,Varicellakeratitis
B0189,Othervaricellacomplications
B019,Varicellawithoutcomplication
B020,Zosterencephalitis
B021,Zostermeningitis
B0221,Postherpeticgeniculateganglionitis
B0222,Postherpetictrigeminalneuralgia
B0223,Postherpeticpolyneuropathy
B0224,Postherpeticmyelitis
B0229,Otherpostherpeticnervoussysteminvolvement
B0230,"Zosteroculardisease,unspecified"
B0231,Zosterconjunctivitis
B0232,Zosteriridocyclitis
B0233,Zosterkeratitis
B0234,Zosterscleritis
B0239,Otherherpeszostereyedisease
B027,Disseminatedzoster
B028,Zosterwithothercomplications
B029,Zosterwithoutcomplications
B03,Smallpox
B04,Monkeypox
B050,Measlescomplicatedbyencephalitis
B051,Measlescomplicatedbymeningitis
B052,Measlescomplicatedbypneumonia
B053,Measlescomplicatedbyotitismedia
B054,Measleswithintestinalcomplications
B0581,Measleskeratitisandkeratoconjunctivitis
B0589,Othermeaslescomplications
B059,Measleswithoutcomplication
B0600,"Rubellawithneurologicalcomplication,unspecified"
B0601,Rubellaencephalitis
B0602,Rubellameningitis
B0609,Otherneurologicalcomplicationsofrubella
B0681,Rubellapneumonia
B0682,Rubellaarthritis
B0689,Otherrubellacomplications
B069,Rubellawithoutcomplication
B070,Plantarwart
B078,Otherviralwarts
B079,"Viralwart,unspecified"
B08010,Cowpox
B08011,Vaccinianotfromvaccine
B0802,Orfvirusdisease
B0803,Pseudocowpox[milker'snode]
B0804,"Paravaccinia,unspecified"
B0809,Otherorthopoxvirusinfections
B081,Molluscumcontagiosum
B0820,"Exanthemasubitum[sixthdisease],unspecified"
B0821,Exanthemasubitum[sixthdisease]duetohumanherpesvirus6
B0822,Exanthemasubitum[sixthdisease]duetohumanherpesvirus7
B083,Erythemainfectiosum[fifthdisease]
B084,Enteroviralvesicularstomatitiswithexanthem
B085,Enteroviralvesicularpharyngitis
B0860,"Parapoxvirusinfection,unspecified"
B0861,Bovinestomatitis
B0862,Sealpox
B0869,Otherparapoxvirusinfections
B0870,"Yatapoxvirusinfection,unspecified"
B0871,Tanapoxvirusdisease
B0872,Yabapoxvirusdisease
B0879,Otheryatapoxvirusinfections
B088,Otherspecifiedviralinfectionscharacterizedbyskinandmucousmembranelesions
B09,Unspecifiedviralinfectioncharacterizedbyskinandmucousmembranelesions
B1001,Humanherpesvirus6encephalitis
B1009,Otherhumanherpesvirusencephalitis
B1081,Humanherpesvirus6infection
B1082,Humanherpesvirus7infection
B1089,Otherhumanherpesvirusinfection
B150,HepatitisAwithhepaticcoma
B159,HepatitisAwithouthepaticcoma
B160,AcutehepatitisBwithdelta-agentwithhepaticcoma
B161,AcutehepatitisBwithdelta-agentwithouthepaticcoma
B162,AcutehepatitisBwithoutdelta-agentwithhepaticcoma
B169,AcutehepatitisBwithoutdelta-agentandwithouthepaticcoma
B170,Acutedelta-(super)infectionofhepatitisBcarrier
B1710,AcutehepatitisCwithouthepaticcoma
B1711,AcutehepatitisCwithhepaticcoma
B172,AcutehepatitisE
B178,Otherspecifiedacuteviralhepatitis
B179,"Acuteviralhepatitis,unspecified"
B180,ChronicviralhepatitisBwithdelta-agent
B181,ChronicviralhepatitisBwithoutdelta-agent
B182,ChronicviralhepatitisC
B188,Otherchronicviralhepatitis
B189,"Chronicviralhepatitis,unspecified"
B190,Unspecifiedviralhepatitiswithhepaticcoma
B1910,UnspecifiedviralhepatitisBwithouthepaticcoma
B1911,UnspecifiedviralhepatitisBwithhepaticcoma
B1920,UnspecifiedviralhepatitisCwithouthepaticcoma
B1921,UnspecifiedviralhepatitisCwithhepaticcoma
B199,Unspecifiedviralhepatitiswithouthepaticcoma
B20,Humanimmunodeficiencyvirus[HIV]disease
B250,Cytomegaloviralpneumonitis
B251,Cytomegaloviralhepatitis
B252,Cytomegaloviralpancreatitis
B258,Othercytomegaloviraldiseases
B259,"Cytomegaloviraldisease,unspecified"
B260,Mumpsorchitis
B261,Mumpsmeningitis
B262,Mumpsencephalitis
B263,Mumpspancreatitis
B2681,Mumpshepatitis
B2682,Mumpsmyocarditis
B2683,Mumpsnephritis
B2684,Mumpspolyneuropathy
B2685,Mumpsarthritis
B2689,Othermumpscomplications
B269,Mumpswithoutcomplication
B2700,Gammaherpesviralmononucleosiswithoutcomplication
B2701,Gammaherpesviralmononucleosiswithpolyneuropathy
B2702,Gammaherpesviralmononucleosiswithmeningitis
B2709,Gammaherpesviralmononucleosiswithothercomplications
B2710,Cytomegaloviralmononucleosiswithoutcomplications
B2711,Cytomegaloviralmononucleosiswithpolyneuropathy
B2712,Cytomegaloviralmononucleosiswithmeningitis
B2719,Cytomegaloviralmononucleosiswithothercomplication
B2780,Otherinfectiousmononucleosiswithoutcomplication
B2781,Otherinfectiousmononucleosiswithpolyneuropathy
B2782,Otherinfectiousmononucleosiswithmeningitis
B2789,Otherinfectiousmononucleosiswithothercomplication
B2790,"Infectiousmononucleosis,unspecifiedwithoutcomplication"
